Kategorie;Produkt;Variante;Status;Apple aktuell €;17 % €;27 % €;Rabattregel;Früher 29.08.2026 €;Änderung Apple €;Hinweis
iphone;iPhone 17 Pro;256 GB;Vorgänger;1299.00;1079.33;949.62;Apple/Beats 17 % / versteckt 27 %;1299.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 17 Pro;512 GB;Vorgänger;1549.00;1286.39;1132.88;Apple/Beats 17 % / versteckt 27 %;1549.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 17 Pro;1 TB;Vorgänger;1799.00;1494.64;1314.95;Apple/Beats 17 % / versteckt 27 %;1799.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 17 Pro Max;256 GB;Vorgänger;1449.00;1204.28;1059.10;Apple/Beats 17 % / versteckt 27 %;1449.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 17 Pro Max;512 GB;Vorgänger;1699.00;1411.34;1242.36;Apple/Beats 17 % / versteckt 27 %;1699.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 17 Pro Max;1 TB;Vorgänger;1949.00;1618.40;1424.43;Apple/Beats 17 % / versteckt 27 %;1949.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone 17 Pro Max;2 TB;Vorgänger;2449.00;2033.71;1789.76;Apple/Beats 17 % / versteckt 27 %;2449.00;0.00;Vorgängerpreis als Historie beibehalten.
iphone;iPhone Air;256 GB;Jetzt kaufen;1299.00;1079.33;949.62;Apple/Beats 17 % / versteckt 27 %;1199.00;100.00;
iphone;iPhone Air;512 GB;Jetzt kaufen;1549.00;1286.39;1132.88;Apple/Beats 17 % / versteckt 27 %;1449.00;100.00;
iphone;iPhone Air;1 TB;Jetzt kaufen;2049.00;1701.70;1497.02;Apple/Beats 17 % / versteckt 27 %;1699.00;350.00;
iphone;iPhone 17;256 GB;Jetzt kaufen;1099.00;912.73;804.44;Apple/Beats 17 % / versteckt 27 %;949.00;150.00;
iphone;iPhone 17;512 GB;Jetzt kaufen;1349.00;1120.98;986.51;Apple/Beats 17 % / versteckt 27 %;1199.00;150.00;
iphone;iPhone 17e;256 GB;Jetzt kaufen;849.00;705.67;621.18;Apple/Beats 17 % / versteckt 27 %;699.00;150.00;
iphone;iPhone 17e;512 GB;Jetzt kaufen;1099.00;912.73;804.44;Apple/Beats 17 % / versteckt 27 %;949.00;150.00;
iphone;iPhone 16;128 GB;Jetzt kaufen;999.00;830.62;730.66;Apple/Beats 17 % / versteckt 27 %;849.00;150.00;
iphone;iPhone 16;256 GB;Jetzt kaufen;1129.00;937.72;825.86;Apple/Beats 17 % / versteckt 27 %;979.00;150.00;
iphone;iPhone 16;512 GB;Jetzt kaufen;1379.00;1145.97;1007.93;Apple/Beats 17 % / versteckt 27 %;1229.00;150.00;
iphone;iPhone 16 Plus;128 GB;Vorgänger;949.00;788.97;694.96;Apple/Beats 17 % / versteckt 27 %;949.00;0.00;Vorgängerpreis als Historie beibehalten.
